Tag,Predicted,Corrected,Wiki
etrade-api,platform,platform,the e trade developer platform enables e trade customers and developers to create their own investment applications that leverage e trade s extensive market data offerings order-routing capabilities and other services
lwuit-dialog,method,method,lwuit dialogs allow us to prompt users for information and rely on the information being available on the next line after the show method
jquery-form-wizard,plugin,plugin,the plugin documentation and examples for this plugin can be found at and the development is done on github
wcf-data-services-client,application,application,any application can interact with an open data protocol odata -based data service if it can send an http request and process the odata feed that a data service returns
sparkup,syntax,null,you can write html in a css-like syntax and have sparkup handle the expansion to full html code
libm,function,library,under linux the mathematical functions as declared in math.h are bundled separately in the mathematical library libm
drbd,device,device,drbd refers to block devices designed as a building block to form high availability ha clusters
safari6,browser,browser,safari 6 is the latest installment to apple s web browser safari which became available publicly july 25 2012 with the release of os x 10.8 mountain lion
ezpdf,class,class,this class is designed to provide a non-module non-commercial alternative to dynamically creating pdf documents from within php
google-email-audit-api,app,app,with the google apps admin audit api you can survey the activities of all of your account s administrators
dr-memory,tool,tool,the tool primarily supports windows
respect-validation,engine,engine,the creators call it the most awesome validation engine ever created for php.
node-neo4j,api,api,it uses neo4j s rest api
typolink,function,link,only links which are generated with the typolink function work properly in all situtations
proxyselector,proxy,null,selects the proxy server to use if any when connecting to the network resource referenced by a url
cjuitabs,framework,framework,cjuitabs is yii php framework class which displays a tabs widget
spring-validator,package,package,the core package is the most fundamental the framework and provides the ioc and dependency injection features
route-provider,service,service,is a service of module ngroute that has a simple api accepting either the when method which takes a path and hash of options including the templatepath and controller which matches a pattern and otherwise method which allows us to redirect to a route if one is not found
asp.net-apicontroller,controller,controller,you can read the ref and take a look in the difference between apicontroller and controller in asp.net mvc since people are commonly confused with them
libusbdotnet,library,library,libusbdotnet - a .net c# usb library for winusb libusb-win32 and libusb-1.0
fragment-lifecycle,method,null,covers how and when the lifecycle callback methods like onattach oncreateview etc
orcad,product,product,the cadence orcad product line provides pcb design tools from initial schematic to final artwork
boxstarter,standard,null,boxstarter can run any chocolatey standard nuget package to create an environment customized to your needs and tastes
kendo-ui-splitter,component,component,splitter is a kendo ui kendo-ui component
insight.database,database,database,insight.database lets you call your database with almost no code and makes it easy to send objects to your database and get them back
jquery-mobile-toolbars,standard,toolbar,in jquery mobile there are two standard toolbars headers and footers
enide,ide,ide,eclipse node.js ide enide is basically one configuration file .p2f that lets you quick start with node.js development
angular-decorator,service,decorator,a service decorator intercepts the creation of a service allowing it to override or modify the behaviour of the service
jbehave-maven-plugin,functionality,plugin,jbehave supports accessing the embedder functionality via maven goals
em-websocket-client,gem,gem,this is a gem implementing a simple websocket client inside eventmachine
jitter,code,null,the jitter responsibility is to compile intermediate code to machine code in run time
cryptprotectdata,function,function,the cryptprotectdata function performs encryption on the data in a data_blob structure
meteor-autoform,project,null,related to github project
sones,company,null,sones graphdb was developed by the company sones in erfurt and leipzig
onionkit,library,library,this is an android library project that provides multiple means to improve network security in mobile applications
vk-sdk,sdk,sdk,vk sdk lets developers integrate their apps directly into the vk social networking service
spiratest,system,system,a complete quality assurance and test management system with integrated release scheduling and defect tracking
ibm-db2,software,software,this tag is to discuss the queries on ibm db2 software
forward-indexing,store,null,the forward index stores a list of words for each document
to-timestamp,function,function,this function generally used to get timestamp from miliseconds date timeuuid or other timely objects
foundation-icon-fonts,style,null,created by zurb they created these icons with specific standards which gives a cohesive voice and style to develop an amazing font set for everyone to love enjoy and use on their website
image-registration,model,null,combine 2 images for the same scene taken by different model to get a more informative image
ember-pods,paradigm,paradigm,ember.js is heavily uses convention over configuration paradigm
javafx-datepicker,feature,chapter,this chapter provides an overview of the date data supported in javafx and describes the basic features of the datepicker control
jqxtree,widget,widget,jqxtree represents a highly configurable jquery tree widget that displays hierarchical data such as a table of contents in a tree structure
dhclient,system,system,the internet systems consortium dhcp client dhclient provides a means for configuring one or more network interfaces using the dynamic host configuration protocol bootp protocol or if these protocols fail by statically assigning an address
apache-hive,file,null,apache hive supports analysis of large datasets stored in hadoop s hdfs and compatible file systems such as amazon s3 filesystem
storemagic,store,null,stores variables aliases and macros in ipython s database
angularjs-controlleras,controller,controller,and exposing the members from the controller to the view via an intermediary object
ghprb,builder,plugin,github pull request builder plugin
strongly-connected-graph,property,property,strongly connected property for directed graph guarantees that for any two graph nodes a and b routes a to b and b to a are exist
office365-restapi,software,software,microsoft office 365 is a commercial software plus services offer from microsoft corporation that includes the microsoft office desktop applications plus hosted microsoft s server products
gsl-code-generator,code,tool,gsl 4.1 is a code construction tool
android-layoutparams,class,class,the base layoutparams class just describes how big the view wants to be for both width and height
google-cloud-datalab,tool,tool,an easy to use interactive tool for large-scale data exploration analysis and visualization
jsr107,api,api,jsr 107 jcache - java temporary caching api
cncontactformatter,class,class,the cncontactformatter class defines the different formatting styles for contacts
webjob,service,null,used in cloud hosting services like microsoft azure
toolbelt,system,null,while we love this simplicity it depends on a system install of rubygems
yii2-widget,widget,widget,the yii2-widgets are based upon the yii base widget class
fixed-flex-design,design,design,this design is made with a flexbox layout and has fixed elements
backupmanager,application,application,when an application has made changes to data which should be backed up a call to datachanged will notify the backup service
om.next,library,library,om next is the successor of the clojurescript library om
qfontmetrics,class,class,the qfontmetrics class provides font metrics information
r-mosaic,project,package,visit the project mosaic github page for more information about this package and its development
swiffy,file,flash,a simple flash to html5 converter that helps make swf files available to a larger audience
maxmsp,editor,editor,max was originally written by miller puckette at paris ircam in the mid-1980s as the patcher editor for the macintosh to provide composers with an authoring system for interactive computer music
ca-lisa,service,service,ca service virtualization formerly known as ca lisa service virtualization
fabric-digits,platform,platform,twitter fabric platform helps to implement seamless user experience with minimal code
screna,library,library,screna is a highly extensible.net capture library
ggpmisc,package,package,the ggpmisc tag should be used for questions related to the use of r package ggpmisc
babel-6,compiler,compiler,babel is a compiler and compiles javascript ecmascript 5 to ecmascript 6 aka es2015
odoo-mobile,framework,framework,odoo mobile is open-source framework allows you to integrate odoo into your android app
android-sinch-api,sdk,sdk,sinch sdk
android-flavors,product,null,product flavors represent different your app that you may release to users such as free and paid your app
varcomp,component,package,variance component models - an r package
njsonschema,library,library,the library can read a schema from a file or string and validate json data against it
angulardraganddroplists,api,directive,angular directives that allow you to build sortable lists with the native html5 drag drop api
wbwebviewconsole,library,library,the library is all about in app debugging console for uiwebview and wkwebview in ios
hammerspoon,tool,tool,hammerspoon should be used for questions related to lua automation tool for osx
static-generator,generator,generator,static-generator could be used in context of static sit generators like
emgu,wrapper,wrapper,emgu should be used for questions related to cross-platform .net wrapper to the opencv image processing library
vssdk,sdk,sdk,the visual studio sdk helps you extend visual studio features or integrate new features into visual studio
netcdf4,dataType,format,in 2008 the netcdf4 format was added to support per-variable compression multiple unlimited dimensions more complex data types and better performance by layering an enhanced netcdf access interface on top of the hdf5 format
yarp,control,null,more specifically yarp supports building a robot control system as a programs communicating in a peer-to-peer way with an extensible connection types tcp udp multicast local mpi mjpg-over-http xml rpc tcpros ..
bootstrap-selectpicker,website,website,website
sass-maps,dataType,dataType,since sass version 3.3 there is a new data type maps
wijmo5,kit,kit,wijmo is a complete kit of over 30 javascript html5 ui widgets with everything from interactive menus to rich charts
nvrtc,platform,platform,the cuda platform supports run-time compilation similar to that of opencl your application binary can load program source code from a file or generate it dynamically and compile it into the ptx intermediary format
phpti,template,technique,template inheritance is an extremely useful technique for making reusable html layouts for a site
travis-ci-cli,service,service,travis ci is a hosted continuous integration service for the open-source community
polylang,plugin,plugin,polylang is the most well known multilingual plugins for wordpress
angularjs-slider,syntax,syntax,syntax
systemjs-builder,file,builder,builds es6 into es5 commonjs amd and globals into a single file in a way that supports the csp systemjs loader as well as circular references
ffmpeg-3.1.4,solution,solution,a complete cross-platform solution to record convert and stream audio and video
xml-auditfile-financial,file,file,xml audit file financial is a dutch standard for exchanging information between accounting packages and or dutch irs
string-operations,representation,null,string s or succession of characters can have various representation either in ram files databases etc
apnagent,feature,feature,features
python-simple-crypt,project,null,project site here
python-http,module,module,this module defines classes which implement the client side of the http and https protocols in python 3
chrono-tz,project,null,project home
bnlearn,package,package,package webpage
android-activitymanager,manager,manager,using the activity manager the android system manages a stack of activities which are in different states starting running paused stopped destroyed
pyeda,design,library,this tag is intended for coding questions about using or modifying the python electronic design automation pyeda library
.xproj,file,extension,the xproj file extension is related to the microsoft visual studio an integrated development tool for microsoft windows operating system
visibilitychange,event,event,the visibilitychange event is fired when the content of a tab has become visible or has been hidden
autovacuum,daemon,daemon,postgres autovacuum daemon
hip,feature,feature,key features include
pyatom,library,library,this library is also known as atomac - automated testing on mac
php-pm,process,process,php-pm ppm is a process manager supercharger and load balancer for php applications
go-alice,middleware,null,when using several middlewares with the standard go network package they are chained them like this
wsastartup,function,function,wsastartup function is used by process to initiate use of the winsock dll
sp.js,client,client,sp.js is the sharepoint 2013 client object model library and allows using some sharepoint s powerful features from a client web part
ngx-datatable,component,component,ngx-datatable is developed by swimlane which is an angular component for presenting large and complex data
gulp-npm-test,package,package,use this tag when asking about the gulp-npm-test javascript package available through npm
cfprint,server,server,is the coldfusion tag that interacts with a printers that are accessible to the coldfusion server
corda,platform,platform,corda is an open-source distributed ledger platform designed to record manage and automate legal agreements between businesses
bootstrapvalidator-1000hz,software,software,this refers to the bootstrap software written here
awaitility,system,system,testing asynchronous systems is hard
daggermock,object,rule,a junit rule to easily override dagger 2 objects
croppie,plugin,plugin,croppie is a fast easy to use image cropping jquery plugin with tons
scosta,specification,specification,scosta specifications are available here
pureconfig,repository,repository,github repository
directus,api,api,api docs
temporal-tables,server,server,temporal tables are microsoft sql server support for system-versioned tables as a database feature that brings built-in support for providing information about data stored in the table at any point in time rather than only the data that is correct at the current moment in time
fluent-http-client,client,client,as discussed in the docs fluenthttpclient is a modern async http client for rest apis
zxcvbn,repository,repository,official github repository
mosaico,builder,builder,free opensource responsive wysiwyg email builder
beast-websockets,library,library,beast http websocket library documentation
fastlane-spaceship,repository,repository,github repository
rpa,software,software,rpa software vendors include
symmetric-key,algorithm,algorithm,symmetric-key algorithms are algorithms for cryptography that
rigid-bodies,format,null,rigid body is a solid body which deformation is neglected
par,format,formatter,par is a paragraph reformatter vaguely similar to fmt but better
fixed-width,term,layout,fixed layouts are layouts that start with a specific size determined by the web designer
preemptive,process,null,preemptive scheduling of processes may occur due to a variety of reasons
elcimagepickercontroller,control,control,elcimagepickercontroller is a clone of the uiimagepickercontroller
child-fragment,ide,null,a child-fragment is a fragment nested inside another fragment
drawtextinrect,format,matrix,a transformation matrix is a special matrix that can describe 2d and 3d transformations
fabric-jboss,gem,null,fabric provides management and orchestration capabilities for multiple fuse instances
open-components,component,component,opencomponents serverless in the front-end world
escodegen,code,null,escodegen in github
invisible,ide,null,the invisible tag is intended to bring attention and association to all things not meeting the basic criteria of being self-evident to the naked eye
termination,term,term,termination is used in its general meaning but it is bounded by the programming scope
click-through,script,null,description
contentpresenter,template,null,typically use the contentpresenter in the controltemplate of a contentcontrol to specify where the content is to be added
form-design,design,design,use this take for questions related to designing or understanding particular forms
carryflag,action,flag,a carry flag usually indicates whether an arithmetic instruction addition or subtraction has resulted in a carry or borrow
scripty2,script,null,scripty2 is a complete rewrite and reimplementation of script.aculo.us
coupon,action,null,this tag refers to performing discounts on ecommerce transactions
sliderextender,value,null,if the developer doesn t specify any parameters the slider is rendered with the default layout shown in the demonstration and its range of values goes from 0 to 100
hayoo,function,null,will search all packages from hackage including all function and type definitions
data-reify,structure,null,data-reify provided the ability to turn recursive structures into explicit graphs
django-admin-actions,action,action,django admin actions
gulp-replace,plugin,plugin,a string replace plugin for gulp
auryn,application,null,auryn is used to bootstrap and wire together s.o.l.i.d. object-oriented php applications
odo,format,null,odo migrates between many formats
beeline,server,server,beeline replaces hive cli for hiveserver
mockserver,server,server,what is mockserver
zero-initialization,value,null,for primitives zero-initialization creates them with a value-initialization of 0
este.js,architecture,architecture,truly universal architecture
dryscrape,format,null,see the dryscape documentation for more information
array-column,value,null,the array_column return the values from a single column in the input array
array-sum,value,null,the array_sum calculate the sum of values in an array
antrunner,point,point,entry point for running ant builds inside eclipse within the same jre
molecule,design,null,molecule is designed to aid in the development and testing of ansible roles
platform-server,format,null,for more information visit here
